"Track","StartUtc","EndUtc","Points"
"2018\[2018-02-03 13h55m50s]Export.gpx","2018-02-02T02:25:06Z","2018-02-03T23:55:28Z","6735"
"2018\[2018-02-03 17h16m52s]First Overlook.gpx","2018-02-03T21:01:59Z","2018-02-03T21:48:10Z","2717"
"2018\[2018-02-03 17h17m15s]First Waterfall.gpx","2018-02-03T21:51:31Z","2018-02-03T22:45:12Z","1886"
"2018\[2018-02-03 17h22m49s]Second Falls.gpx","2018-02-03T22:47:11Z","2018-02-03T23:55:28Z","2129"
"2018\[2018-02-05 07h43m50s]North Shore Loop.gpx","2018-02-04T23:33:10Z","2018-02-05T02:03:01Z","6252"
"2018\[2018-02-05 16h15m21s]Volcano National Park.gpx","2018-02-05T19:12:01Z","2018-02-06T01:35:30Z","16613"
"2018\[2018-02-06 16h39m35s]Ride The Rim.gpx","2018-02-06T18:39:52Z","2018-02-06T22:13:52Z","3790"
"2018\[2018-02-08 19h08m13s]Pearl Harbor (1).gpx","2018-02-08T21:02:19Z","2018-02-08T23:18:55Z","1659"
"2018\[2018-10-27 16h03m02s]Breckenridge (1).gpx","2018-10-27T17:39:58Z","2018-10-27T21:31:01Z","5884"
"2019\[2019-01-19 15h38m14s]Sedona - Sat afternoon.gpx","2019-01-19T20:48:50Z","2019-01-19T21:40:34Z","2290"
"2019\[2019-01-20 10h06m39s]Sedona - Sun morning.gpx","2019-01-20T15:21:58Z","2019-01-20T16:49:39Z","2900"
"2019\[2019-01-21 15h04m54s]Grand Canyon.gpx","2019-01-21T16:18:41Z","2019-01-21T18:46:07Z","4844"
"2019\[2019-01-22 09h54m28s]Flagstaff.gpx","2019-01-22T15:56:06Z","2019-01-22T16:47:21Z","2049"
"2019\[2019-01-23 17h16m26s]USA - NV - Laughlin.gpx","2019-01-22T15:56:06Z","2019-01-22T16:47:21Z","2049"
"2019\[2019-03-06 21h04m03s]USA - NV - Laughlin.gpx","2019-01-22T15:56:06Z","2019-01-22T16:47:21Z","2049"
"2019\[2019-01-24 13h37m56s]Lake Havasu.gpx","2019-01-24T16:58:41Z","2019-01-24T19:56:16Z","8710"
"2019\[2019-01-25 10h56m08s]East of Laughlin.gpx","2019-01-25T17:01:46Z","2019-01-25T17:55:58Z","1629"
"2019\[2019-01-26 14h23m50s]Hoover Dam.gpx","2019-01-26T21:05:12Z","2019-01-26T22:23:45Z","2623"
"2019\[2019-04-20 14h25m51s]Unlabeled Track.gpx","2019-04-06T17:50:58Z","2019-04-06T19:02:25Z","2666"
"2019\[2019-04-20 14h23m14s]Unlabeled Track.gpx","2019-04-06T20:28:05Z","2019-04-06T21:16:08Z","1434"
"2019\[2019-04-20 14h23m38s]Unlabeled Track.gpx","2019-04-06T23:28:40Z","2019-04-07T00:09:57Z","1761"
"2019\[2019-04-20 14h27m23s]Unlabeled Track.gpx","2019-04-07T11:07:20Z","2019-04-07T13:32:30Z","5026"
"2019\[2019-04-20 14h26m33s]Unlabeled Track.gpx","2019-04-07T13:32:46Z","2019-04-07T15:01:48Z","2492"
"2019\[2019-04-20 14h25m27s]Unlabeled Track.gpx","2019-04-07T16:13:37Z","2019-04-07T17:16:56Z","2378"
"2019\[2019-06-24 09h17m57s]Butterfield Canyon, UT.gpx","2019-06-24T01:40:29Z","2019-06-24T05:16:01Z","7564"
"2019\[2019-07-14 16h21m16s]Udvar-Hazy.gpx","2019-07-14T17:25:06Z","2019-07-14T18:47:26Z","823"
"2020\2020-01-04 - PR - San Juan - City Tour.gpx","2020-01-04T13:03:54Z","2020-01-04T16:35:37Z","8682"
"2020\2020-01-07 - Aruba.gpx","2020-01-07T13:18:14Z","2020-01-07T17:58:49Z","8182"
"2020\2020-01-08 - Curacao.gpx","2020-01-08T12:29:56Z","2020-01-08T15:57:28Z","4632"
"2020\2020-01-10 - St. Lucia.gpx","2020-01-10T14:03:16Z","2020-01-10T17:37:59Z","3024"
"2020\2020-01-11 - Barbados - Bridgetown.gpx","2020-01-11T14:44:06Z","2020-01-11T16:48:04Z","3340"
"2020\2020-01-13 - Guadeloupe - Pointe-à-Pitre.gpx","2020-01-13T13:33:48Z","2020-01-13T18:38:39Z","11421"
"2020\2020-01-14 - British Virgin Islands - Tortola.gpx","2020-01-14T12:41:49Z","2020-01-14T15:51:15Z","6361"
"2020\2020-11-25 - US - Virginia - Great Falls National Park.gpx","2020-11-25T19:08:22Z","2020-11-25T20:11:42Z","954"
"2021\2021-08 - Utah\[2021-08-06 20h24m33s]Antelope Island.gpx","2021-08-07T01:20:47Z","2021-08-07T02:23:09Z","1825"
"2021\2021-08 - Utah\[2021-08-08 18h46m10s]Southern Utah 2021-08-08.gpx","2021-08-08T13:25:07Z","2021-08-09T00:45:32Z","26334"
"2021\2021-08 - Utah\[2021-08-09 19h31m44s]Bryce back home.gpx","2021-08-09T13:28:28Z","2021-08-09T23:33:00Z","25348"
"2021\2021-09-19 - USA - MD - Great Falls\2021-09-19 - USA - MD - Great Falls.gpx","2021-09-19T10:55:47Z","2021-09-19T12:33:54Z","1803"
"2021\2021-11 - USA - UT - Southern Utah\2021-11-18 - USA - Utah - Snow Canyon State Park.gpx","2021-11-18T20:58:11Z","2021-11-18T23:51:19Z","5398"
"2021\2021-11 - USA - UT - Southern Utah\2021-11-19 - USA - Utah - Zion National Park.gpx","2021-11-19T14:44:54Z","2021-11-19T23:27:06Z","15459"
"2021\2021-11 - USA - UT - Southern Utah\2021-11-20 - USA - Utah - Cedar Breaks National Monument.gpx","2021-11-20T14:05:12Z","2021-11-20T21:24:52Z","16217"
"2022\2022-01 - USA - Hawaii\2022-01-11 - Waikoloa and points north.gpx","2022-01-11T19:57:01Z","2022-01-11T22:00:38Z","3855"
"2022\2022-01 - USA - Hawaii\2022-01-13 - Volcanoes National Park.gpx","2022-01-13T23:04:46Z","2022-01-14T02:06:23Z","6538"
"2022\2022-01 - USA - Hawaii\2022-01-14 - Hilo And NE Coast.gpx","2022-01-14T19:17:14Z","2022-01-14T23:57:58Z","9285"
"2022\2022-01 - USA - Hawaii\2022-01-15 - Captain Cook.gpx","2022-01-16T02:21:54Z","2022-01-16T07:56:34Z","8008"
"2022\2022-01 - USA - Hawaii\2022-01-16 - NW Shore.gpx","2022-01-16T19:19:28Z","2022-01-16T23:42:06Z","10412"
"2022\2022-01 - USA - Hawaii\2022-01-17 - Final Sunset Shots Around Kona.gpx","2022-01-18T01:51:23Z","2022-01-18T04:02:46Z","4486"
"2022\2022-06 - Europe - UK, Norway, Iceland\2022-06-10 - UK - England - London - Embankment.gpx","2022-06-10T10:17:11Z","2022-06-10T11:28:34Z","904"
"2022\2022-06 - Europe - UK, Norway, Iceland\2022-06-14 - UK - Scotland - Edinburgh.gpx","2022-06-14T09:49:03Z","2022-06-14T15:32:02Z","7647"
"2022\2022-06 - Europe - UK, Norway, Iceland\2022-06-15 - UK - Scotland - Inverness.gpx","2022-06-15T07:48:01Z","2022-06-15T13:25:10Z","9489"
"2022\2022-06 - Europe - UK, Norway, Iceland\2022-06-16 - UK - Scotland - Shetland Islands.gpx","2022-06-16T09:20:02Z","2022-06-16T12:51:40Z","7520"
"2022\2022-06 - Europe - UK, Norway, Iceland\2022-06-17 - Norway - Bergen.gpx","2022-06-17T08:23:22Z","2022-06-17T15:59:38Z","15977"
"2022\2022-06 - Europe - UK, Norway, Iceland\2022-06-18 - Norway - Ålesund.gpx","2022-06-18T07:52:16Z","2022-06-18T13:46:08Z","10650"
"2022\2022-06 - Europe - UK, Norway, Iceland\2022-06-21 - Iceland - Akureyri.gpx","2022-06-21T12:41:19Z","2022-06-21T16:45:06Z","8739"
"2022\2022-06 - Europe - UK, Norway, Iceland\2022-06-23 - Iceland - Golden Circle.gpx","2022-06-23T12:10:45Z","2022-06-23T18:49:45Z","14704"
"2022\2022-06 - Europe - UK, Norway, Iceland\2022-06-24 - Iceland - Reykjavik Hotel To KEF Airport.gpx","2022-06-24T07:32:07Z","2022-06-24T08:23:25Z","2620"
"2022\2022-09 - Canada - BC, AB - Canadian Rockies\2022-09-26- Kootenay National Park.gpx","2022-09-26T14:26:46Z","2022-09-26T22:21:57Z","17116"
"2022\2022-09 - Canada - BC, AB - Canadian Rockies\2022-09-27- Peyto Lake, Bow Lake, Yoho.gpx","2022-09-27T13:47:45Z","2022-09-27T21:19:36Z","13457"
"2022\2022-09 - Canada - BC, AB - Canadian Rockies\2022-09-27 - Moraine Lake at night.gpx","2022-09-28T00:42:22Z","2022-09-28T02:44:18Z","3999"
"2022\2022-09 - Canada - BC, AB - Canadian Rockies\2022-09-28 - Lake Louise, Lake Louise Chairlift, Banff Gondola.gpx","2022-09-28T13:43:29Z","2022-09-28T23:12:15Z","13483"
"2022\2022-09 - Canada - BC, AB - Canadian Rockies\2022-09-29 - Canada - Lake Louise to Waterton Lakes National Park.gpx","2022-09-29T15:25:07Z","2022-09-29T21:36:22Z","12526"
