"Dir","Cr3","Nef","Dng","Xmp"
"2018\2018-10-19","0","1","0","1"
"2018\2018-10-20","0","130","0","1"
"2018\2018-10-26","0","53","0","29"
"2018\2018-10-27","0","1913","0","1913"
"2019\2019-01-19","0","437","0","437"
"2019\2019-01-20","0","1177","0","1177"
"2019\2019-01-21","0","1060","0","1060"
"2019\2019-01-22","0","58","0","58"
"2019\2019-01-23","0","662","0","662"
"2019\2019-01-24","0","520","0","520"
"2019\2019-01-25","0","982","0","982"
"2019\2019-01-26","0","3323","0","3323"
"2019\2019-04-06","0","1698","0","1698"
"2019\2019-04-07","0","3591","0","3591"
"2019\2019-06-22","0","977","0","977"
"2019\2019-06-24","0","951","0","951"
"2019\2019-07-14","0","1485","0","1485"
"2020\2020-01-03","0","209","0","209"
"2020\2020-01-04","0","1385","0","1385"
"2020\2020-01-07","0","878","0","878"
"2020\2020-01-08","0","3127","0","3127"
"2020\2020-01-09","0","505","0","505"
"2020\2020-01-10","0","826","0","826"
"2020\2020-01-11","0","649","0","649"
"2020\2020-01-12","0","202","0","202"
"2020\2020-01-13","0","1839","0","1839"
"2020\2020-01-14","0","2678","0","2678"
"2020\2020-06-07","0","51","0","0"
"2020\2020-07-12","0","15","0","15"
"2020\2020-11-25","0","2197","0","2197"
"2021\2021-05-19","0","4813","0","4768"
"2021\2021-05-22","0","4561","0","4373"
"2021\2021-08-07","549","0","0","549"
"2021\2021-08-08","3113","0","0","3113"
"2021\2021-08-09","4349","0","0","4349"
"2021\2021-09-19","0","3717","0","3717"
"2021\2021-11-18","0","1402","0","1402"
"2021\2021-11-19","0","2885","0","2885"
"2021\2021-11-20","0","2215","0","2215"
"2021\2021-12-30","813","0","0","813"
"2022\2022-01-08","129","0","0","129"
"2022\2022-01-11","821","0","0","821"
"2022\2022-01-13","507","0","0","507"
"2022\2022-01-14","3838","0","0","3838"
"2022\2022-01-16","3426","0","0","3426"
"2022\2022-01-18","992","0","0","992"
"2022\2022-06-10","1865","0","0","1865"
"2022\2022-06-11","233","0","0","5"
"2022\2022-06-14","709","0","0","709"
"2022\2022-06-15","997","0","0","997"
"2022\2022-06-16","1279","0","0","1279"
"2022\2022-06-17","906","0","0","906"
"2022\2022-06-18","2829","0","0","2829"
"2022\2022-06-19","990","0","0","9"
"2022\2022-06-21","395","0","0","359"
"2022\2022-06-22","78","0","0","78"
"2022\2022-06-23","867","0","0","867"
"2022\2022-09-26","2816","0","0","2816"
"2022\2022-09-27","3883","0","0","3883"
"2022\2022-09-28","1272","0","0","1272"
"2022\2022-09-29","2833","0","0","1563"
"2022\2022-09-30","3710","0","0","3707"
"2022\2022-10-01","160","0","0","0"
"2022\2022-12-04","1803","0","0","1803"
"2022\2022-12-07","420","0","0","420"
"2022\2022-12-08","3988","0","0","3988"
"2022\2022-12-09","324","0","0","324"
"2022\2022-12-10","2256","0","0","0"
"2022\2022-12-11","439","0","0","335"
"2022\2022-12-13","3735","0","0","1012"
"2022\2022-12-15","446","0","1","446"
"2022\2022-12-16","2249","0","0","2249"
"2023\2023-05-06","0","1377","0","1"
"2023\2023-09-10","1385","0","6","215"
"2023\2023-09-11","1886","0","9","1886"
"2023\2023-09-12","627","0","3","627"
"2023\2023-09-13","3504","0","7","3504"
"2023\2023-09-14","1357","0","2","1357"
"2023\2023-09-15","2110","0","8","2109"
"2023\2023-09-17","281","0","0","281"
"2023\2023-11-14","1317","0","2","1317"
"2023\2023-11-15","4434","0","0","4434"
"2023\2023-11-16","4084","0","0","4084"
"2023\2023-11-17","2955","0","0","2955"
"2023\2023-11-18","881","0","0","881"
"2024\2024-01-19","0","714","0","1"
"2024\2024-01-22","0","2216","0","0"
"2024\2024-01-24","0","1570","0","1"
"2024\2024-01-25","0","1137","0","0"
"2024\2024-01-26","0","1741","0","0"
"2024\2024-01-27","0","1046","0","1"
"2024\2024-05-02","1221","0","0","1221"
"2024\2024-09-29","637","0","0","0"
"2024\2024-09-30","705","0","0","665"
"2024\2024-10-02","7395","0","0","7319"
"2024\2024-10-03","1032","0","0","1032"
"2024\2024-10-04","1500","0","0","1500"
"2024\2024-10-05","889","0","0","889"
"2024\2024-10-06","3341","0","0","3341"
"2025\2025-01-19","674","0","0","584"
"2025\2025-01-22","964","0","0","752"
"2025\2025-03-10","358","0","0","319"
"2025\2025-03-11","79","0","0","21"
"2025\2025-03-12","844","0","0","832"
"2025\2025-03-14","1936","0","0","1388"
"2025\2025-03-15","1433","0","0","1356"
"2025\2025-03-16","451","0","0","451"
"2025\2025-03-17","635","0","0","635"
"2025\2025-03-21","461","0","0","461"
"2025\2025-09-17","1024","0","0","1002"
"2025\2025-09-18","95","0","0","95"
"2025\2025-09-19","297","0","0","297"
"2025\2025-09-21","1689","0","0","1575"
"2025\2025-09-22","139","0","0","0"
"2025\2025-11-24","726","0","0","726"
"2026\2026-01-17","487","0","0","487"
"2026\2026-07-15","202","0","0","202"
"2026\2026-07-16","1835","0","0","1835"
"2026\2026-07-17","647","0","0","647"
